"","WT_1","WT_2","DEL_slyA_1","DEL_slyA_2"
"BW25113_RS00005",3.62171873269762,10.1099678717958,14.9208745690067,7.60783599903497
"BW25113_RS00010",63.3800778222083,79.9606549860211,103.380345228118,83.6861959893847
"BW25113_RS00015",27.1628904952321,19.3008477552465,27.7101956281553,23.9103417112528
"BW25113_RS00020",29.8791795447554,38.6016955104929,35.1706329126587,28.2576765678442
"BW25113_RS00030",4.52714841587202,6.43361591841549,6.3946605295743,6.52100228488712
"BW25113_RS00035",19.0140233466625,11.0290558601408,24.5128653633682,24.9971754254006
"BW25113_RS00040",21.7303123961857,26.653551662007,24.5128653633682,23.9103417112528
"BW25113_RS00045",459.052849369423,451.272202277429,404.995166873039,403.215307948854
"BW25113_RS00050",27.1628904952321,25.734463673662,23.4470886084391,30.4313439961399
"BW25113_RS00055",16.2977342971393,15.6244958018662,9.59199079436145,16.3025057122178
"BW25113_RS00060",6.33800778222083,6.43361591841549,9.59199079436145,10.8683371414785
"BW25113_RS00065",1.81085936634881,3.67635195338028,3.19733026478715,3.26050114244356
"BW25113_RS00070",946.174018917253,947.579715983767,2921.29408526053,3012.70305561785
"BW25113_RS00075",115.894999446324,141.539550205141,351.706329126587,326.050114244356
"BW25113_RS00080",5.43257809904643,10.1099678717958,21.315535098581,20.6498405688092
"BW25113_RS00085",6.33800778222083,7.35270390676056,12.7893210591486,10.8683371414785
"BW25113_RS00090",35.3117576438018,32.1680795920774,41.565293442233,34.7786788527313
"BW25113_RS00095",20.8248827130113,24.8153756853169,18.1182048337939,22.8235079971049
"BW25113_RS00100",5.43257809904643,9.1908798834507,13.8550978140777,7.60783599903497
"BW25113_RS00110",70.6235152876036,89.1515348694718,76.7359263548916,90.2071982742718
"BW25113_RS00115",4.52714841587202,4.59543994172535,8.5262140394324,6.52100228488712
"BW25113_RS00120",89.6375386342661,111.209646589753,88.4594706591112,91.2940319884197
"BW25113_RS00125",414.686794893877,420.942298662042,505.17818183637,416.257312518628
"BW25113_RS00130",41.6497654260226,40.4398714871831,40.4995166873039,36.952346281027
"BW25113_RS00135",38.028046693325,29.4108156270422,30.9075258929425,40.2128474234706
"BW25113_RS00140",61.5692184558595,57.9025432657394,60.7492750309559,68.4705239913148
"BW25113_RS00145",49.7986325745923,52.388015335669,52.2230609915235,55.4285194215405
"BW25113_RS00150",23.5411717625345,11.0290558601408,27.7101956281553,26.0840091395485
"BW25113_RS00165",12.6760155644417,14.7054078135211,17.0524280788648,15.2156719980699
"BW25113_RS00170",34.4063279606274,34.0062555687676,39.4337399323749,31.5181777102877
"BW25113_RS00180",12.6760155644417,10.1099678717958,5.32888377464525,10.8683371414785
"BW25113_RS00185",4.52714841587202,4.59543994172535,6.3946605295743,8.69466971318283
"BW25113_RS00190",9.05429683174405,7.35270390676056,10.6577675492905,9.78150342733068
"BW25113_RS00195",17.2031639803137,17.4626717785563,22.3813118535101,19.5630068546614
"BW25113_RS00200",23.5411717625345,29.4108156270422,17.0524280788648,28.2576765678442
"BW25113_RS00205",17.2031639803137,26.653551662007,17.0524280788648,23.9103417112528
"BW25113_RS00210",17.2031639803137,19.3008477552465,10.6577675492905,14.1288382839221
"BW25113_RS00215",4.52714841587202,9.1908798834507,9.59199079436145,5.43416857073927
"BW25113_RS00220",4.52714841587202,6.43361591841549,9.59199079436145,6.52100228488712
"BW25113_RS00225",13.5814452476161,11.9481438484859,7.46043728450335,18.4761731405135
"BW25113_RS00230",6.33800778222083,2.75726396503521,4.2631070197162,2.17366742829571
"BW25113_RS00235",10.8651561980929,11.0290558601408,20.249758343652,19.5630068546614
"BW25113_RS00240",7.24343746539524,4.59543994172535,12.7893210591486,5.43416857073927
"BW25113_RS00245",19.9194530298369,21.1390237319366,21.315535098581,19.5630068546614
"BW25113_RS00250",11.7705858812673,9.1908798834507,10.6577675492905,9.78150342733068
"BW25113_RS00255",31.6900389111042,30.3299036153873,26.6444188732263,33.6918451385835
"BW25113_RS00260",30.7846092279298,27.5726396503521,20.249758343652,33.6918451385835
"BW25113_RS00265",76.05609338665,72.6079510792605,67.1439355605302,80.4256948469412
"BW25113_RS00270",91.4483980006149,92.8278868228521,106.577675492905,79.3388611327933
"BW25113_RS00275",210.965116179636,209.552061342676,149.208745690067,181.501230262692
"BW25113_RS00280",309.656951645646,266.53551662007,327.193463763218,270.621594822815
"BW25113_RS00285",19.9194530298369,23.8962876969718,22.3813118535101,18.4761731405135
"BW25113_RS00290",12.6760155644417,16.5435837902113,11.7235443042196,13.0420045697742
"BW25113_RS25860",7.24343746539524,4.59543994172535,4.2631070197162,6.52100228488712
"BW25113_RS00295",28.0683201784065,15.6244958018662,19.1839815887229,19.5630068546614
"BW25113_RS00300",55.2312106736387,63.4170711958098,80.9990333746078,96.7282005591589
"BW25113_RS00305",47.9877732082435,50.5498393589788,26.6444188732263,45.6470159942098
"BW25113_RS00310",8.14886714856964,2.75726396503521,6.3946605295743,10.8683371414785
"BW25113_RS00315",16.2977342971393,13.786319825176,14.9208745690067,11.9551708556264
"BW25113_RS00320",22.6357420793601,26.653551662007,22.3813118535101,23.9103417112528
"BW25113_RS00325",18.1085936634881,7.35270390676056,10.6577675492905,14.1288382839221
"BW25113_RS00330",14.4868749307905,17.4626717785563,11.7235443042196,14.1288382839221
"BW25113_RS00335",18.1085936634881,16.5435837902113,13.8550978140777,11.9551708556264
"BW25113_RS00340",21.7303123961857,33.0871675804225,29.8417491380134,26.0840091395485
"BW25113_RS00350",18.1085936634881,12.867231836831,13.8550978140777,11.9551708556264
"BW25113_RS00355",9.05429683174405,13.786319825176,10.6577675492905,11.9551708556264
"BW25113_RS00360",12.6760155644417,11.0290558601408,21.315535098581,18.4761731405135
"BW25113_RS00365",13.5814452476161,16.5435837902113,14.9208745690067,11.9551708556264
"BW25113_RS00370",18.1085936634881,19.3008477552465,28.7759723830844,34.7786788527313
"BW25113_RS00380",8.14886714856964,16.5435837902113,9.59199079436145,10.8683371414785
"BW25113_RS00385",22.6357420793601,22.0581117202817,34.1048561577296,30.4313439961399
"BW25113_RS00390",5.43257809904643,7.35270390676056,6.3946605295743,8.69466971318283
"BW25113_RS00400",66.0963668717315,64.3361591841549,94.8541311886855,85.8598634176804
"BW25113_RS00405",51.6094919409411,47.7925753939436,44.7626237070201,48.9075171366534
"BW25113_RS00410",97.7864057828357,78.1224790093309,99.1172382084017,91.2940319884197
"BW25113_RS00415",24.4466014457089,19.3008477552465,17.0524280788648,15.2156719980699
"BW25113_RS00420",73.3398043371268,58.8216312540845,83.1305868844659,73.904692562054
