"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"BW25113_RS20400",127.736970612296,1.47636347527613,0.211202335894524,6.99028005075398,2.74338073151698e-12,5.82968405447358e-11
"BW25113_RS17090",1308.97195278388,0.458068421114393,0.0658644869636628,6.95471022748735,3.53287446293154e-12,7.43302795418764e-11
"BW25113_RS13935",169.902527701341,1.28174189332365,0.184365368820719,6.95218359891682,3.59674870637072e-12,7.49322647160566e-11
"BW25113_RS15205",760.558957686234,0.605723611555249,0.0875895214265623,6.91548031876285,4.66280777117208e-12,9.61987040168997e-11
"BW25113_RS06645",380.177022461839,0.789312163094014,0.115685715788651,6.82290080251593,8.92202673012312e-12,1.82301026937612e-10
"BW25113_RS18385",150.078649552894,-1.33956573581293,0.197214964585946,-6.79241425023379,1.10272362058586e-11,2.23170256547138e-10
"BW25113_RS20455",1134.41244333803,0.475476217568187,0.070602894593313,6.73451450265638,1.64478198453344e-11,3.29307074500232e-10
"BW25113_RS21830",474.115589888597,0.700586660375969,0.104047472530042,6.73333665239862,1.65815797513058e-11,3.29307074500232e-10
"BW25113_RS17145",1426.39281865387,0.421333036467279,0.0626123412000242,6.72923306159835,1.70559676484244e-11,3.35591956045388e-10
"BW25113_RS16210",43.9681057031382,-2.76133885391319,0.422358379009125,-6.53790475375779,6.23866317209658e-11,1.2162531413491e-09
"BW25113_RS22825",334.946155347757,-0.800876058627826,0.124347457734334,-6.44063073922173,1.18978017305531e-10,2.29843897067502e-09
"BW25113_RS13425",176.788634243421,-1.14029121582231,0.177271304077288,-6.43246362832169,1.25552081515444e-10,2.40358714612899e-09
"BW25113_RS11200",175.109519572989,-1.12107026741944,0.174541875325783,-6.42293011534891,1.33675872269654e-10,2.53626096940192e-09
"BW25113_RS21135",159.407204368322,-1.19811427586537,0.189273249568782,-6.33007716935708,2.45038616749879e-10,4.60802708489817e-09
"BW25113_RS19400",621.236611539718,0.590361809347065,0.0933043554846052,6.32726957150969,2.49537203333727e-10,4.65146102705411e-09
