Geneid	WT_1	WT_2	DEL_slyA_1	DEL_slyA_2
BW25113_RS04120	22	18	13	8
BW25113_RS04125	25	30	27	24
BW25113_RS04130	27	24	23	17
BW25113_RS04135	17	21	10	10
BW25113_RS04140	179	187	159	146
BW25113_RS04145	13	11	13	11
BW25113_RS04150	81	85	53	49
BW25113_RS04155	67	51	63	53
BW25113_RS04160	41	37	34	34
BW25113_RS26095	8	6	5	5
BW25113_RS04165	12	6	4	5
BW25113_RS04170	5	3	2	4
BW25113_RS04175	3	12	13	6
BW25113_RS04180	20	23	21	21
BW25113_RS25500	4	7	4	5
BW25113_RS04190	13	12	9	17
BW25113_RS04195	21	28	22	15
BW25113_RS04200	21	28	17	18
BW25113_RS04205	25	31	19	15
BW25113_RS04210	74	81	87	88
BW25113_RS04220	139	118	80	77
BW25113_RS04225	12	16	12	13
BW25113_RS25505	11	7	8	7
BW25113_RS04230	102	90	136	140
BW25113_RS04235	33	38	34	34
BW25113_RS04240	9	15	9	7
BW25113_RS04245	15	25	18	21
BW25113_RS04250	27	30	32	25
BW25113_RS04255	31	45	32	37
BW25113_RS04260	58	71	42	57
BW25113_RS04265	19	18	21	25
BW25113_RS04270	13	18	16	18
BW25113_RS04275	62	52	17	34
BW25113_RS04280	16	8	7	5
BW25113_RS04285	14	11	6	13
BW25113_RS04290	23	20	19	22
BW25113_RS04295	30	36	29	33
BW25113_RS04300	21	28	34	22
BW25113_RS04305	31	39	39	29
BW25113_RS04310	31	44	30	30
BW25113_RS04315	17	14	25	18
BW25113_RS04320	13	12	16	16
BW25113_RS04325	19	13	18	25
BW25113_RS04330	11	19	6	8
BW25113_RS04335	14	18	19	17
BW25113_RS04340	20	15	15	12
BW25113_RS04345	14	15	12	10
BW25113_RS04350	21	20	29	33
BW25113_RS04355	32	31	53	38
BW25113_RS04360	19	19	12	13
BW25113_RS04365	13	11	6	12
BW25113_RS04370	23	22	18	17
BW25113_RS04375	7	3	5	5
BW25113_RS04380	14	9	13	14
BW25113_RS04385	24	18	15	16
BW25113_RS04390	8	8	5	7
BW25113_RS04395	54	45	51	42
BW25113_RS04400	13	11	8	8
BW25113_RS04405	5	4	8	8
BW25113_RS04410	6	10	6	8
BW25113_RS04415	19	20	35	23
BW25113_RS04420	26	21	18	23
BW25113_RS04425	39	27	22	26
BW25113_RS04435	24	20	17	23
BW25113_RS04440	18	15	19	12
BW25113_RS04445	7	14	12	8
BW25113_RS04450	9	4	8	6
BW25113_RS04455	7	3	4	2
BW25113_RS04460	22	8	19	14
BW25113_RS04465	26	32	36	27
BW25113_RS04470	17	16	15	8
BW25113_RS04475	12	15	10	8
BW25113_RS04480	34	31	27	18
BW25113_RS04485	16	20	22	13
BW25113_RS04490	21	18	11	10
BW25113_RS04495	20	13	9	10
BW25113_RS04500	26	39	20	21
BW25113_RS04505	20	22	17	11
BW25113_RS04510	24	35	25	24
BW25113_RS04515	22	17	32	36
BW25113_RS04520	58	51	17	37
BW25113_RS04525	48	41	18	19
BW25113_RS04530	88	74	33	24
BW25113_RS04535	14	14	11	16
BW25113_RS04540	1	6	11	6
BW25113_RS04550	30	33	30	27
BW25113_RS04555	34	35	31	23
BW25113_RS04560	27	23	24	20
BW25113_RS04565	30	30	40	24
BW25113_RS04570	39	43	33	24
BW25113_RS26100	3	2	3	1
BW25113_RS04575	46	46	45	44
BW25113_RS04580	725	756	784	743
BW25113_RS04585	2	5	4	0
BW25113_RS04590	56	59	56	43
BW25113_RS04595	12	18	14	12
BW25113_RS04600	47	44	47	28
BW25113_RS04605	41	31	28	36
BW25113_RS04610	49	55	37	58
BW25113_RS04615	68	45	78	65
BW25113_RS04620	282	301	237	264
BW25113_RS04625	115	96	94	93
BW25113_RS04630	66	71	75	57
BW25113_RS04635	258	233	246	220
BW25113_RS04640	548	575	404	398
BW25113_RS04645	171	189	115	113
BW25113_RS04650	246	229	174	149
BW25113_RS04655	31	18	16	13
BW25113_RS04660	30	20	40	36
BW25113_RS04665	24	26	24	23
BW25113_RS04670	10	8	11	13
BW25113_RS04675	8	9	6	6
BW25113_RS04680	57	52	55	54
BW25113_RS04685	4561	4580	7593	7493
BW25113_RS25515	220	238	388	373
BW25113_RS04695	46	49	57	57
BW25113_RS04700	11	11	7	14
BW25113_RS04705	55	36	71	80
BW25113_RS04710	45	26	48	55
BW25113_RS04715	9	8	3	12
BW25113_RS04720	189	211	153	145
BW25113_RS04725	2018	1975	1745	1733
BW25113_RS04730	75	51	63	67
BW25113_RS04735	35	32	26	23
BW25113_RS04740	83	73	57	66
BW25113_RS04745	35	31	27	25
BW25113_RS04750	27	25	23	25
BW25113_RS04755	6	9	10	6
BW25113_RS04760	34	42	28	37
BW25113_RS04765	56	56	32	38
BW25113_RS04770	20	16	4	16
BW25113_RS04775	38	47	29	40
BW25113_RS04780	83	87	69	75
BW25113_RS04785	80	59	72	56
BW25113_RS04790	380	389	320	324
BW25113_RS04795	66	52	60	63
BW25113_RS04800	44	56	48	40
BW25113_RS04805	62	70	53	50
BW25113_RS04810	83	77	85	83
BW25113_RS04820	1356	1291	998	962
BW25113_RS04825	164	156	165	143
BW25113_RS04830	68	65	51	52
BW25113_RS04835	265	238	279	265
BW25113_RS04840	10	10	9	9
BW25113_RS04845	7	8	5	7
BW25113_RS04850	13	4	3	3
BW25113_RS04855	9	5	5	4
BW25113_RS04860	4	5	3	5
BW25113_RS04865	8	8	0	3
BW25113_RS04870	4	5	8	2
BW25113_RS04875	38	12	16	13
BW25113_RS04880	12	13	6	7
BW25113_RS04885	6	5	3	6
BW25113_RS04890	5	3	5	6
BW25113_RS04895	7	5	3	8
BW25113_RS04900	19	12	7	18
BW25113_RS04905	15	6	6	12
BW25113_RS04910	30	34	41	32
BW25113_RS04915	68	75	83	48
BW25113_RS04920	76	83	61	65
BW25113_RS04925	33	27	17	28
BW25113_RS04930	35	30	37	36
BW25113_RS04935	14	9	17	19
BW25113_RS04940	15	27	21	17
BW25113_RS04945	62	49	62	54
BW25113_RS04950	113	121	93	92
BW25113_RS04955	18	14	21	12
BW25113_RS04960	3788	3739	3272	3289
BW25113_RS04970	30	24	32	19
BW25113_RS04975	11	10	5	16
BW25113_RS04980	45	42	51	51
BW25113_RS04985	8	13	12	7
BW25113_RS04990	50	44	28	29
BW25113_RS04995	41	23	26	28
BW25113_RS05000	9	10	4	2
BW25113_RS05010	18	13	13	11
BW25113_RS05015	34	40	33	28
BW25113_RS05020	24	26	27	31
BW25113_RS05025	7	4	3	5
BW25113_RS05030	9	9	7	19
BW25113_RS05035	159	163	186	174
BW25113_RS05040	18	17	12	9
BW25113_RS05045	12	20	9	13
BW25113_RS05050	21	18	17	17
BW25113_RS05055	7	8	5	5
BW25113_RS05060	10	5	4	5
BW25113_RS05065	6	8	1	5
BW25113_RS05070	15	12	9	9
BW25113_RS05075	20	17	10	13
BW25113_RS05080	17	20	8	9
BW25113_RS05085	0	0	1	0
BW25113_RS05090	20	16	11	10
BW25113_RS05095	25	21	31	24
BW25113_RS05100	3	5	6	2
BW25113_RS05105	9	19	12	7
BW25113_RS05110	26	17	26	25
BW25113_RS05115	10	5	8	9
BW25113_RS05120	4	4	9	1
BW25113_RS05125	8	6	8	7
BW25113_RS05135	44	26	23	26
BW25113_RS05140	9	10	4	11
BW25113_RS05145	444	431	398	345
BW25113_RS23580	139	105	104	108
BW25113_RS05150	18	17	30	18
BW25113_RS05155	7	8	10	10
BW25113_RS05160	28	29	30	32
BW25113_RS05165	35	39	28	22
BW25113_RS05170	11	14	15	7
BW25113_RS05175	7	6	7	6
BW25113_RS05180	13	16	6	3
BW25113_RS05185	19	20	21	26
BW25113_RS05190	9	7	5	7
BW25113_RS05195	5	11	2	11
BW25113_RS05200	37	40	20	18
BW25113_RS05205	2	6	6	6
BW25113_RS05210	227	219	120	96
BW25113_RS05215	113	117	37	29
BW25113_RS05220	202	200	52	60
BW25113_RS05230	10	1	6	2
BW25113_RS05235	7	10	9	14
BW25113_RS05240	3	1	1	1
BW25113_RS05245	7	1	4	2
BW25113_RS05250	10	6	6	0
BW25113_RS05255	3	2	4	4
BW25113_RS05260	3	5	5	6
BW25113_RS05265	2	10	8	8
BW25113_RS05270	12	15	12	5
BW25113_RS05275	252	225	249	240
BW25113_RS05280	1	4	2	4
BW25113_RS05285	104	108	73	58
BW25113_RS05300	10	13	15	13
BW25113_RS05305	16	9	6	14
BW25113_RS05315	44	32	18	23
BW25113_RS05320	9	9	5	6
BW25113_RS05325	13	11	11	8
BW25113_RS05330	16	17	13	17
BW25113_RS05335	34	36	28	26
BW25113_RS05340	10	11	14	13
BW25113_RS05345	4	0	0	1
BW25113_RS05360	0	0	0	1
BW25113_RS23065	0	0	0	0
BW25113_RS23070	0	1	1	0
BW25113_RS05370	0	0	3	0
BW25113_RS05375	32	28	30	25
BW25113_RS05380	32	33	16	33
BW25113_RS05385	28	28	27	25
BW25113_RS05390	24	19	22	22
BW25113_RS05395	13	11	8	10
BW25113_RS05400	0	2	2	2
BW25113_RS05405	1	2	3	0
BW25113_RS05410	10	7	4	8
BW25113_RS05420	3	3	2	4
BW25113_RS05425	8	2	5	2
BW25113_RS05430	4	6	3	3
BW25113_RS05435	1	2	6	4
BW25113_RS05440	6	9	13	7
BW25113_RS05445	39	27	29	20
BW25113_RS05450	10	15	14	12
BW25113_RS05465	117	106	58	67
BW25113_RS05470	102	138	69	67
BW25113_RS05475	7	9	8	11
BW25113_RS05480	18	14	13	12
BW25113_RS05490	20	21	23	20
BW25113_RS05495	24	31	14	14
BW25113_RS05500	31	19	23	22
BW25113_RS05505	8	13	17	8
BW25113_RS05510	11	14	8	12
BW25113_RS05515	2	1	0	1
BW25113_RS05520	40	28	32	31
BW25113_RS05525	126	106	100	90
BW25113_RS05530	8	14	10	6
BW25113_RS05535	18	35	23	19
BW25113_RS05540	16	21	16	11
BW25113_RS05545	26	22	18	19
BW25113_RS05550	18	9	9	10
BW25113_RS05555	27	22	30	35
BW25113_RS05560	27	40	21	27
BW25113_RS05565	27	27	29	29
BW25113_RS05570	20	21	32	21
BW25113_RS05575	9	7	24	12
BW25113_RS05580	7	3	15	11
BW25113_RS05585	9	9	21	13
BW25113_RS05590	4	9	37	35
BW25113_RS05595	1	11	39	35
BW25113_RS05600	16	9	94	97
BW25113_RS05605	31	34	250	239
BW25113_RS05610	18	25	121	110
BW25113_RS05615	30	26	136	153
BW25113_RS05620	13	8	46	48
BW25113_RS05625	23	28	68	72
BW25113_RS05630	16	18	70	59
BW25113_RS05635	34	33	131	119
BW25113_RS05640	23	21	101	85
BW25113_RS05645	563	509	524	520
BW25113_RS05655	23	50	30	29
BW25113_RS05660	20	9	16	24
BW25113_RS05665	560	488	413	401
BW25113_RS05670	157	153	113	111
BW25113_RS05675	115	125	87	96
BW25113_RS05680	202	198	152	156
BW25113_RS05685	238	205	195	220
BW25113_RS05690	344	338	290	294
BW25113_RS05695	309	338	282	300
BW25113_RS05700	360	377	298	309
BW25113_RS05705	26	17	25	15
BW25113_RS05710	27	29	22	20
BW25113_RS05715	14	20	17	14
BW25113_RS05720	35	35	25	21
BW25113_RS05725	23	18	22	18
BW25113_RS05730	69	60	45	53
BW25113_RS05735	22	24	21	25
BW25113_RS05740	23	34	43	35
BW25113_RS05745	31	27	31	26
BW25113_RS05750	50	42	44	38
BW25113_RS05755	30	30	27	24
BW25113_RS05760	72	63	49	42
BW25113_RS05765	73	66	51	48
BW25113_RS05770	93	86	301	298
BW25113_RS05775	23	16	37	35
BW25113_RS05780	9	16	16	16
BW25113_RS05785	10	14	3	9
BW25113_RS05790	20	16	36	22
BW25113_RS05795	87	89	137	127
BW25113_RS05800	18	7	9	5
BW25113_RS05805	38	50	33	29
BW25113_RS05810	30	26	13	21
BW25113_RS05815	60	44	37	41
BW25113_RS05820	45	36	35	30
BW25113_RS05825	33	35	40	42
BW25113_RS05830	9	4	11	12
BW25113_RS05835	4	3	1	2
BW25113_RS05840	59	58	51	65
BW25113_RS05845	25	18	33	39
BW25113_RS05850	34	36	26	45
BW25113_RS05855	49	40	53	47
BW25113_RS05865	48	59	59	48
BW25113_RS05870	56	51	53	55
BW25113_RS05875	60	58	61	57
BW25113_RS05880	39	36	56	40
BW25113_RS05885	42	56	29	21
BW25113_RS05890	35	38	24	26
BW25113_RS05895	87	75	57	53
BW25113_RS05900	15	8	10	5
BW25113_RS05905	7	8	7	11
BW25113_RS05910	609	520	444	433
BW25113_RS05915	5	1	1	0
BW25113_RS05920	3	3	2	0
BW25113_RS05925	3	2	1	2
BW25113_RS05930	1	4	2	2
BW25113_RS05935	0	0	0	0
BW25113_RS25530	1	1	1	0
BW25113_RS23630	4	1	6	1
BW25113_RS05940	0	3	1	1
BW25113_RS05945	4	6	3	3
BW25113_RS05950	0	0	0	1
BW25113_RS05955	0	2	2	0
BW25113_RS23635	0	0	0	0
BW25113_RS05970	0	0	0	0
BW25113_RS05985	0	0	1	0
BW25113_RS05990	1	1	0	1
BW25113_RS05995	0	0	0	0
BW25113_RS06000	1	0	2	1
BW25113_RS06005	0	0	1	0
BW25113_RS06010	1	0	0	0
BW25113_RS06015	3	0	1	2
BW25113_RS06020	2	0	4	1
BW25113_RS25985	1	0	1	0
BW25113_RS25535	1	0	0	0
BW25113_RS06030	4	6	6	3
BW25113_RS06035	51	53	54	44
BW25113_RS06040	128	119	71	79
BW25113_RS06045	3	1	7	1
BW25113_RS06050	4	0	3	0
BW25113_RS06055	2	1	1	0
BW25113_RS06060	4	2	2	3
BW25113_RS06065	16	16	13	17
BW25113_RS06070	3	0	2	4
BW25113_RS06090	3	4	4	3
BW25113_RS06095	5	2	2	1
BW25113_RS06100	2	0	1	0
BW25113_RS23645	0	1	1	0
BW25113_RS25540	0	1	0	2
BW25113_RS06110	26	38	17	26
BW25113_RS06115	131	129	84	94
BW25113_RS06120	79	74	48	64
BW25113_RS06125	5	13	6	3
BW25113_RS06130	10	8	11	7
BW25113_RS06140	12	7	14	10
BW25113_RS06145	31	15	10	15
BW25113_RS06150	14	8	8	11
BW25113_RS06155	10	7	4	3
BW25113_RS06160	5	5	6	4
BW25113_RS06165	9	11	12	13
BW25113_RS06170	11	16	13	17
BW25113_RS06175	32	25	32	29
BW25113_RS06180	41	36	26	21
BW25113_RS06185	54	40	29	29
BW25113_RS06190	146	139	144	143
BW25113_RS06195	50	80	48	50
BW25113_RS06200	37	40	38	30
BW25113_RS06205	9	18	15	18
BW25113_RS06210	18	11	22	17
BW25113_RS06215	8	9	9	11
BW25113_RS06220	6	5	5	4
BW25113_RS06225	2	3	1	3
BW25113_RS06230	18	27	22	25
BW25113_RS06235	30	37	87	83
BW25113_RS06240	17	18	50	53
BW25113_RS06245	28	31	49	63
BW25113_RS06250	31	25	36	21
BW25113_RS06255	33	37	28	28
BW25113_RS06265	56	52	51	51
BW25113_RS06270	17	14	12	9
BW25113_RS06275	68	68	52	45
BW25113_RS06280	36	41	34	27
BW25113_RS06285	105	125	76	87
BW25113_RS06290	40	50	43	39
BW25113_RS06295	31	27	14	18
BW25113_RS06300	84	89	69	76
BW25113_RS06305	59	62	68	66
BW25113_RS06310	36	53	27	38
BW25113_RS06315	15	9	12	12
BW25113_RS06320	55	53	54	50
BW25113_RS06325	96	85	109	92
BW25113_RS06330	10	6	9	4
BW25113_RS06335	1	1	1	1
BW25113_RS06340	4	0	1	2
BW25113_RS06345	45	39	37	46
BW25113_RS06350	6	6	3	3
BW25113_RS06355	13	22	14	10
BW25113_RS06360	26	20	18	19
BW25113_RS06365	21	16	12	23
BW25113_RS06370	30	21	13	27
BW25113_RS06375	49	45	32	35
BW25113_RS06385	123	145	57	51
BW25113_RS06390	1412	1460	568	540
BW25113_RS06395	1067	1055	432	493
BW25113_RS06400	410	360	162	194
BW25113_RS06405	282	268	133	126
BW25113_RS23085	2	5	2	1
BW25113_RS23090	2	5	3	0
BW25113_RS23095	4	1	4	2
BW25113_RS06415	3	5	3	4
BW25113_RS23100	21	12	6	7
BW25113_RS06420	1	4	2	0
BW25113_RS06425	28	32	38	29
BW25113_RS06430	16	16	10	13
BW25113_RS06435	60	66	49	40
BW25113_RS06440	92	83	37	48
BW25113_RS06445	115	146	99	97
BW25113_RS06450	214	199	122	117
BW25113_RS06455	17	9	7	13
BW25113_RS06470	1559	1472	2584	2583
BW25113_RS26110	4	1	0	1
BW25113_RS06475	17	13	7	16
BW25113_RS25865	90	82	71	83
BW25113_RS06480	1162	1138	1074	1074
BW25113_RS06485	126	155	96	122
BW25113_RS06490	224	224	187	173
BW25113_RS06495	394	434	332	291
BW25113_RS06500	378	383	290	310
BW25113_RS06505	26	15	23	23
BW25113_RS06510	53	62	50	53
BW25113_RS25550	14	14	9	8
BW25113_RS06520	17	17	13	14
BW25113_RS06525	7	6	9	6
BW25113_RS06530	12	12	14	14
BW25113_RS06535	5	8	10	11
BW25113_RS06540	22	26	22	19
BW25113_RS06545	29	20	25	18
BW25113_RS06550	146	139	127	130
BW25113_RS06555	20	10	7	8
BW25113_RS06560	2	5	1	3
BW25113_RS06565	3	4	1	0
BW25113_RS06570	38	30	41	34
BW25113_RS06575	55	45	51	57
BW25113_RS06580	44	36	39	30
BW25113_RS06585	30	31	19	22
BW25113_RS06590	36	37	19	18
BW25113_RS23700	0	2	1	2
BW25113_RS06595	40	39	26	26
BW25113_RS06600	61	48	50	41
BW25113_RS06605	44	35	24	31
BW25113_RS06610	84	83	66	71
BW25113_RS06615	21	23	22	20
BW25113_RS06620	22	22	29	42
BW25113_RS06630	69	64	46	50
BW25113_RS06635	20	20	13	21
BW25113_RS06645	306	305	446	449
BW25113_RS06650	69	69	54	45
BW25113_RS06655	5	3	0	6
BW25113_RS06660	6	9	8	6
BW25113_RS25560	1	2	1	2
BW25113_RS06675	171	165	142	154
BW25113_RS06680	32	21	20	16
BW25113_RS06685	17	14	13	12
BW25113_RS06690	8	13	22	13
BW25113_RS06695	53	43	43	36
BW25113_RS06700	23	26	20	18
BW25113_RS06705	9	5	7	10
BW25113_RS06710	6	7	4	4
BW25113_RS06715	20	24	16	12
BW25113_RS06720	2	3	0	0
BW25113_RS26115	3	0	2	1
BW25113_RS06725	21	19	24	22
BW25113_RS25050	1	1	0	1
BW25113_RS06735	61	67	61	52
BW25113_RS06740	6	13	6	13
BW25113_RS06745	86	92	57	61
BW25113_RS06755	10	12	4	4
BW25113_RS06760	19	20	8	11
BW25113_RS06765	23	14	14	9
BW25113_RS06770	14	12	8	10
BW25113_RS06775	21	15	14	6
BW25113_RS06780	32	26	29	27
BW25113_RS06790	7	8	7	5
BW25113_RS06795	11	13	14	7
BW25113_RS25565	2	5	3	5
BW25113_RS06800	29	31	19	29
BW25113_RS06805	12	14	16	15
BW25113_RS06810	11	11	12	13
BW25113_RS06815	8	10	10	5
BW25113_RS06820	7	10	3	2
BW25113_RS06825	22	16	11	11
BW25113_RS06830	12	14	17	19
BW25113_RS06835	69	64	45	47
BW25113_RS06840	10	6	12	5
BW25113_RS06845	9	16	6	4
BW25113_RS06850	11	9	4	5
BW25113_RS06855	51	42	21	15
BW25113_RS06860	21	22	11	15
BW25113_RS06865	18	16	15	19
BW25113_RS06870	9	12	4	10
BW25113_RS06875	10	12	5	7
BW25113_RS06880	13	12	7	6
BW25113_RS06885	10	10	5	6
BW25113_RS06890	9	17	12	12
BW25113_RS06895	25	12	33	12
BW25113_RS06900	5	12	5	3
BW25113_RS06910	3	12	8	5
BW25113_RS06915	10	11	9	17
BW25113_RS06920	47	41	68	70
BW25113_RS06925	23	26	45	34
BW25113_RS06930	101	96	84	94
BW25113_RS06935	131	133	115	125
BW25113_RS06940	56	53	46	38
BW25113_RS06945	34	23	21	17
BW25113_RS06955	11	9	9	10
BW25113_RS06960	14	10	10	8
BW25113_RS06970	57	78	51	54
BW25113_RS06975	14	9	15	10
BW25113_RS06980	0	0	0	0
BW25113_RS06985	3	16	9	9
BW25113_RS06990	318	322	247	238
BW25113_RS06995	139	130	102	109
BW25113_RS07000	6	11	7	7
BW25113_RS07005	21	15	17	9
BW25113_RS07015	10	20	17	10
BW25113_RS07020	8	9	13	9
BW25113_RS07025	14	20	17	21
BW25113_RS07035	22	12	11	12
BW25113_RS07040	22	25	19	20
BW25113_RS26120	0	1	0	1
BW25113_RS07045	25	22	14	15
BW25113_RS26345	2	3	1	0
BW25113_RS07055	22	31	23	21
BW25113_RS07060	26	38	24	28
BW25113_RS23720	11	8	12	11
BW25113_RS07070	2	3	3	2
BW25113_RS07075	1	0	1	1
BW25113_RS07080	2	0	0	2
BW25113_RS07085	9	7	5	7
BW25113_RS07090	15	12	9	12
BW25113_RS07095	0	0	3	4
BW25113_RS07100	3	0	1	0
BW25113_RS07105	2	1	0	3
BW25113_RS07110	3	6	3	1
BW25113_RS23000	2	2	2	2
BW25113_RS26350	1	1	2	1
BW25113_RS07115	4	4	4	6
BW25113_RS07120	1	0	0	0
BW25113_RS07125	1	1	1	1
BW25113_RS07130	3	2	1	0
BW25113_RS07135	5	1	2	2
BW25113_RS26510	9	4	2	5
BW25113_RS07150	12	13	12	8
BW25113_RS07155	4	2	1	2
BW25113_RS07160	1	1	1	0
BW25113_RS26475	0	0	0	0
BW25113_RS07180	1	0	3	2
BW25113_RS23745	2	2	2	2
BW25113_RS07205	2	0	1	1
BW25113_RS07210	23	25	21	21
BW25113_RS07215	12	15	14	11
BW25113_RS25575	12	12	19	15
BW25113_RS07220	47	34	28	21
BW25113_RS07225	13	5	6	8
BW25113_RS07230	107	105	76	68
BW25113_RS07235	8	7	6	1
BW25113_RS07240	9	13	10	9
BW25113_RS07245	26	32	74	43
BW25113_RS07250	47	59	43	32
BW25113_RS07255	3	5	3	5
BW25113_RS07260	6	4	4	3
BW25113_RS07265	18	28	18	22
BW25113_RS07270	25	29	12	22
BW25113_RS07275	16	23	12	13
BW25113_RS07280	1	0	0	0
BW25113_RS07285	1	4	2	1
BW25113_RS07290	1	0	1	0
BW25113_RS07295	2	0	0	1
BW25113_RS07300	0	1	0	0
BW25113_RS07305	0	1	1	2
BW25113_RS07310	0	0	0	0
BW25113_RS07315	1	0	1	1
BW25113_RS07320	2	0	1	1
BW25113_RS07325	0	0	0	0
BW25113_RS07330	7	22	8	8
BW25113_RS07335	14	18	9	5
BW25113_RS07340	7	8	6	5
BW25113_RS07345	9	7	2	5
BW25113_RS25580	0	0	0	0
BW25113_RS07355	1	0	2	0
BW25113_RS07365	2	0	1	0
BW25113_RS07375	16	18	19	15
BW25113_RS07380	19	32	18	15
BW25113_RS07385	6	7	6	3
BW25113_RS07390	6	2	3	5
BW25113_RS07395	11	18	16	8
BW25113_RS07400	12	13	13	10
BW25113_RS07405	9	14	9	5
BW25113_RS07410	236	226	193	210
BW25113_RS07415	16	11	28	19
BW25113_RS07420	340	336	351	312
BW25113_RS07440	24	23	19	9
BW25113_RS07445	13	6	6	3
BW25113_RS26135	1	1	1	1
BW25113_RS07450	6	4	10	5
BW25113_RS07455	27	37	27	33
BW25113_RS07460	44	37	27	21
BW25113_RS07465	25	26	20	15
BW25113_RS07470	55	56	41	50
BW25113_RS07480	21	20	21	16
BW25113_RS07485	10	9	11	7
BW25113_RS07490	12	12	12	9
BW25113_RS07495	22	17	10	14
BW25113_RS07500	19	21	11	10
BW25113_RS07505	28	25	13	17
BW25113_RS07520	19	21	28	25
BW25113_RS07525	16	15	14	9
BW25113_RS07530	5	8	5	6
BW25113_RS07535	37	38	30	35
BW25113_RS07540	1	6	3	1
BW25113_RS07545	4	5	4	2
BW25113_RS07550	4	3	6	6
BW25113_RS07555	21	22	15	11
BW25113_RS07560	32	25	20	16
BW25113_RS07565	20	17	10	13
BW25113_RS07570	14	20	10	9
BW25113_RS07575	9	12	6	8
BW25113_RS07580	38	24	9	9
BW25113_RS23775	3	3	3	0
BW25113_RS07590	5	2	1	1
BW25113_RS07595	9	7	8	4
BW25113_RS07600	3	7	3	7
BW25113_RS07605	6	9	9	12
BW25113_RS07610	36	25	14	14
BW25113_RS07615	10	8	7	13
BW25113_RS07620	22	26	27	23
BW25113_RS07625	18	17	14	17
BW25113_RS07630	8	11	12	8
BW25113_RS07635	1	5	3	9
BW25113_RS07640	2	1	0	1
BW25113_RS26360	1	4	7	0
BW25113_RS25600	1	1	0	0
BW25113_RS07660	0	2	5	0
BW25113_RS07665	1	2	2	4
BW25113_RS07670	4	4	2	7
BW25113_RS07675	12	7	7	11
BW25113_RS07680	15	11	11	14
BW25113_RS07685	7	8	3	6
BW25113_RS07690	8	5	7	5
BW25113_RS07695	14	12	7	12
BW25113_RS07700	37	36	24	33
BW25113_RS07705	12	19	12	5
BW25113_RS07720	6	6	8	7
BW25113_RS07730	162	142	195	197
BW25113_RS07735	70	53	85	73
BW25113_RS07740	23	35	46	38
BW25113_RS07745	10	13	10	11
BW25113_RS07750	30	43	30	37
BW25113_RS07755	113	128	119	106
BW25113_RS07760	23	25	7	12
BW25113_RS07765	6	4	1	2
BW25113_RS07770	11	12	11	11
BW25113_RS07775	8	11	6	7
BW25113_RS07780	12	13	10	6
BW25113_RS07785	9	5	4	13
BW25113_RS07790	5	8	8	4
BW25113_RS07795	9	13	9	11
BW25113_RS07800	8	5	7	6
BW25113_RS07805	19	30	22	12
BW25113_RS07810	11	10	20	18
BW25113_RS07815	22	22	12	21
BW25113_RS07820	11	15	14	14
BW25113_RS07825	8	2	5	4
BW25113_RS07835	31	23	17	18
BW25113_RS07840	26	26	26	19
BW25113_RS07845	24	21	9	13
BW25113_RS25610	2	0	1	2
BW25113_RS07850	12	17	10	10
BW25113_RS07855	73	71	19	22
BW25113_RS07860	5	1	1	1
BW25113_RS07865	5	4	1	3
BW25113_RS07870	23	26	27	25
BW25113_RS07875	11	10	7	6
BW25113_RS07880	4	5	3	0
BW25113_RS07885	6	2	5	2
BW25113_RS07900	17	19	15	21
BW25113_RS07905	6	5	2	4
BW25113_RS07920	11	7	8	6
BW25113_RS07925	10	11	8	8
BW25113_RS07930	0	1	0	1
BW25113_RS07935	3	0	0	0
BW25113_RS07940	4	8	4	6
BW25113_RS07945	14	14	5	5
BW25113_RS07950	10	7	5	7
BW25113_RS07955	2	6	2	2
BW25113_RS07960	9	5	8	8
BW25113_RS07965	14	9	10	8
BW25113_RS07975	24	33	22	29
BW25113_RS07985	6	6	8	6
BW25113_RS07990	14	14	11	13
BW25113_RS07995	33	28	21	10
BW25113_RS08000	11	7	3	9
BW25113_RS08005	8	5	8	8
BW25113_RS08010	15	9	11	15
BW25113_RS08015	6	5	8	7
BW25113_RS08020	7	9	7	4
BW25113_RS08025	5	9	7	13
BW25113_RS08030	6	6	5	3
BW25113_RS08035	14	18	16	10
BW25113_RS08040	17	12	12	14
BW25113_RS08045	9	9	3	6
BW25113_RS26150	0	2	1	0
BW25113_RS08050	14	20	21	14
BW25113_RS08055	3	3	5	2
BW25113_RS08060	2	6	6	6
BW25113_RS08065	49	35	71	89
BW25113_RS08070	44	28	34	41
BW25113_RS08075	32	38	30	30
BW25113_RS08080	6	9	3	4
BW25113_RS08085	18	8	21	12
BW25113_RS25615	40	29	27	23
BW25113_RS08095	11	16	12	6
BW25113_RS08100	33	32	27	29
BW25113_RS08105	2	0	2	0
BW25113_RS08115	7	6	5	5
BW25113_RS08120	1	3	0	0
BW25113_RS08125	0	0	0	1
BW25113_RS08130	16	29	34	22
BW25113_RS25620	9	3	8	8
BW25113_RS23830	11	17	23	15
BW25113_RS08140	31	42	41	36
BW25113_RS08145	3	1	2	4
BW25113_RS08150	6	4	6	3
BW25113_RS08155	2	7	1	1
BW25113_RS08160	3	1	5	5
BW25113_RS26155	5	4	7	8
BW25113_RS08165	98	112	114	115
BW25113_RS08170	21	28	22	15
BW25113_RS25625	23	19	14	14
BW25113_RS08175	2	1	2	3
BW25113_RS08180	7	6	9	6
