Geneid	WT_1	WT_2	DEL_slyA_1	DEL_slyA_2
BW25113_RS00895	208	200	239	196
BW25113_RS00900	61	69	72	60
BW25113_RS00905	72	59	88	62
BW25113_RS00910	51	43	37	33
BW25113_RS00915	28	23	21	24
BW25113_RS00920	159	163	143	140
BW25113_RS00925	84	93	100	100
BW25113_RS00930	40	59	39	37
BW25113_RS00935	7	5	11	4
BW25113_RS00940	28	34	34	31
BW25113_RS00945	12	16	13	22
BW25113_RS00950	28	18	25	14
BW25113_RS00955	22	22	21	29
BW25113_RS00960	26	18	20	26
BW25113_RS00965	37	41	33	35
BW25113_RS00970	21	20	13	16
BW25113_RS00975	135	129	115	96
BW25113_RS00980	14	24	21	21
BW25113_RS00985	25	19	18	14
BW25113_RS00990	31	22	38	30
BW25113_RS00995	10	18	9	6
BW25113_RS01000	16	16	18	22
BW25113_RS01005	34	24	16	24
BW25113_RS01010	6390	6412	5200	5130
BW25113_RS01015	0	1	0	0
BW25113_RS01020	2	2	4	2
BW25113_RS01025	45539	45446	40018	39019
BW25113_RS01030	6	7	2	7
BW25113_RS01035	5	2	0	2
BW25113_RS01040	15	15	10	6
BW25113_RS01045	13	23	16	23
BW25113_RS01050	35	21	23	31
BW25113_RS01055	10	22	10	14
BW25113_RS01060	99	71	64	71
BW25113_RS01065	17	11	19	16
BW25113_RS01070	18	32	15	13
BW25113_RS01075	17	16	14	14
BW25113_RS01080	14	12	12	13
BW25113_RS01085	2	1	1	0
BW25113_RS01090	9	2	6	9
BW25113_RS01095	0	2	0	1
BW25113_RS01110	16	20	14	17
BW25113_RS01115	10	18	10	10
BW25113_RS01120	143	145	124	119
BW25113_RS01125	27	30	37	30
BW25113_RS01130	34	42	27	29
BW25113_RS01135	45	52	34	35
BW25113_RS01140	6	3	8	3
BW25113_RS01145	11	11	4	10
BW25113_RS01150	3	4	1	2
BW25113_RS01155	10	8	2	7
BW25113_RS01165	11	7	8	4
BW25113_RS01170	16	18	12	16
BW25113_RS01175	2	7	3	4
BW25113_RS01180	7	8	4	6
BW25113_RS01185	4	4	3	2
BW25113_RS01200	288	248	241	235
BW25113_RS01205	13	21	10	11
BW25113_RS01210	36	32	29	25
BW25113_RS01215	32	27	26	28
BW25113_RS01220	14	14	16	14
BW25113_RS01225	54	40	54	53
BW25113_RS01230	53	48	48	52
BW25113_RS01235	8	9	12	8
BW25113_RS01240	8	7	1	6
BW25113_RS01245	5	6	1	2
